id;titulo;ano;diretor;duracao;generos;pais;orcamento;receita;nota_imdb;ator_1;ator_2;ator_3
tt0036653;La follia di Barbablù;1944;Edgar G. Ulmer;72;Crime| Horror| Thriller;USA;NA;NA;5,9;John Carradine; Jean Parker; Nils Asther
tt0036667;Bowery Champs;1944;William Beaudine;62;Action| Comedy| Crime;USA;85000;NA;5,2;Leo Gorcey; Huntz Hall; William 'Billy' Benedict
tt0036670;Brazil;1944;Joseph Santley;91;Comedy| Musical| Romance;USA;NA;NA;6,7;Tito Guízar; Virginia Bruce; Edward Everett Horton
tt0036671;Le sorprese dell'amore;1944;Richard Wallace;81;Comedy;USA;NA;NA;6,3;Alan Marshal; Laraine Day; Marsha Hunt
tt0036672;Il ponte di San Luis Rey;1944;Rowland V. Lee;107;Drama| Romance;USA;NA;NA;5,8;Lynn Bari; Akim Tamiroff; Francis Lederer
tt0036673;Ritmi di Broadway;1944;Roy Del Ruth;115;Family| Music;USA;NA;NA;5,9;George Murphy; Ginny Simms; Charles Winninger
tt0036677;Buffalo Bill;1944;William A. Wellman;90;Biography| Romance| Western;USA;NA;NA;6,4;Joel McCrea; Maureen O'Hara; Linda Darnell
tt0036692;California;1944;Frank Ryan;90;Musical| Western;USA;NA;NA;6,3;Deanna Durbin; Robert Paige; Akim Tamiroff
tt0036696;Lo spettro di Canterville;1944;Jules Dassin, Norman Z. McLeod;95;Comedy| Fantasy;USA;NA;NA;6,9;Charles Laughton; Robert Young; Margaret O'Brien
tt0036697;Captain America;1944;Elmer Clifton, John English;244;Action| Adventure| Sci-Fi;USA;222906;NA;5,5;Dick Purcell; Lorna Gray; Lionel Atwill
tt0036698;Carolina Blues;1944;Leigh Jason;81;Comedy| Musical;USA;NA;NA;5,7;Kay Kyser; Ann Miller; Victor Moore
tt0036699;Le tre donne di Casanova;1944;Sam Wood;94;Comedy;USA;NA;NA;6,3;Gary Cooper; Teresa Wright; Frank Morgan
tt0036705;Black Magic;1944;Phil Rosen;67;Comedy| Crime| Drama;USA;75000;NA;6,6;Sidney Toler; Mantan Moreland; Frances Chan
tt0036706;Charlie Chan in the Secret Service;1944;Phil Rosen;63;Comedy| Crime| Mystery;USA;75000;NA;6,5;Sidney Toler; Mantan Moreland; Arthur Loft
tt0036709;Charlie Chan in The Chinese Cat;1944;Phil Rosen;66;Comedy| Crime| Mystery;USA;75000;NA;6,7;Sidney Toler; Joan Woodbury; Mantan Moreland
tt0036711;Vacanze a Natale;1944;Robert Siodmak;93;Crime| Drama| Film-Noir;USA;NA;NA;6,6;Deanna Durbin; Gene Kelly; Richard Whorf
tt0036715;La voce magica;1944;George Waggner;86;Horror| Music| Thriller;USA;NA;NA;5,4;Boris Karloff; Susanna Foster; Turhan Bey
tt0036716;Il cobra;1944;Robert Siodmak;71;Adventure| Drama| Romance;USA;NA;NA;5,8;Maria Montez; Jon Hall; Sabu
tt0036719;I cospiratori;1944;Jean Negulesco;101;Drama| Romance| Thriller;USA;NA;NA;6,5;Hedy Lamarr; Paul Henreid; Sydney Greenstreet
tt0036723;Fascino;1944;Charles Vidor;107;Comedy| Musical| Romance;USA;NA;NA;6,8;Rita Hayworth; Gene Kelly; Lee Bowman
tt0036725;Cowboy and the Senorita;1944;Joseph Kane;78;Action| Adventure| Comedy;USA;NA;NA;5,9;Roy Rogers; Trigger; Mary Lee
tt0036730;Crime by Night;1944;William Clemens;72;Drama| Mystery;USA;NA;NA;6,2;Jane Wyman; Jerome Cowan; Faye Emerson
tt0036731;Cry of the Werewolf;1944;Henry Levin;63;Crime| Drama| Horror;USA;NA;NA;5,4;Nina Foch; Stephen Crane; Osa Massen
tt0036733;Il giardino delle streghe;1944;Gunther von Fritsch, Robert Wise;70;Drama| Horror| Mystery;USA;150000;NA;6,9;Simone Simon; Kent Smith; Jane Randolph
tt0036741;Dangerous Passage;1944;William Berke;60;Drama| Film-Noir;USA;NA;NA;5,5;Robert Lowery; Phyllis Brooks; Charles Arnt
tt0036743;Dark Mountain;1944;William Berke;56;Crime| Drama;USA;NA;NA;5,4;Robert Lowery; Ellen Drew; Regis Toomey
tt0036745;Acque scure;1944;André De Toth;90;Drama| Film-Noir| Mystery;USA;NA;NA;6,5;Merle Oberon; Franchot Tone; Thomas Mitchell
tt0036748;Tamara figlia della steppa;1944;Jacques Tourneur;86;Drama| Romance| War;USA;958000;NA;6,2;Tamara Toumanova; Gregory Peck; Alan Reed
